model,model_key,model_run_id,model_version,model_parameters,model_features,evaluation_start,evaluation_end,observations,MAE,RMSE,directional_observations,directional_accuracy,mean_predicted_return,mean_actual_return,forecast_bias
Banks Lasso Regression V1,general_regression,banks_lasso_v1,v1,"{'estimator': 'lasso', 'alpha': 0.001, 'standardize': True, 'polynomial_degree': 1, 'fit_intercept': True, 'max_iter': 10000, 'minimum_training_weeks': 60}","{'feature_set': 'weekly_v1', 'feature_map_path': 'data/processed/weekly_features_weekly_v1.csv', 'selected_columns': ['return_lag_1', 'return_lag_4', 'rolling_mean_4', 'rolling_std_4', 'downside_deviation_12', 'market_return_lag_1', 'market_rolling_mean_4', 'excess_return_lag_1', 'excess_return_lag_4', 'return_lag_1_cs_z']}",2026-01-01,2026-08-31,350,0.035518937855879,0.0466527785333782,347,0.5072046109510087,0.0035426180564896,0.0022948804180995,0.00124773763839
Banks XGBoost V1,tree_boosting,banks_xgboost_v1,v1,"{'estimator': 'xgboost', 'n_estimators': 80, 'max_depth': 2, 'learning_rate': 0.01, 'subsample': 0.8, 'colsample_bytree': 0.8, 'reg_alpha': 0.015, 'reg_lambda': 0.035, 'min_child_weight': 5, 'random_state': 42, 'n_jobs': -1, 'minimum_training_weeks': 104}","{'feature_set': 'weekly_v1', 'feature_map_path': 'data/processed/weekly_features_weekly_v1.csv', 'selected_columns': ['return_lag_1', 'return_lag_4', 'rolling_mean_4', 'rolling_std_4', 'downside_deviation_12', 'market_return_lag_1', 'market_rolling_mean_4', 'excess_return_lag_1', 'excess_return_lag_4', 'return_lag_1_cs_z']}",2026-01-01,2026-08-31,350,0.0357481410970968,0.0469740655236234,347,0.5302593659942363,0.0042104544311795,0.0022948804180995,0.0019155740130799
4-Week EWMA,ewma,ewma_span4_v1,v1,{'span_weeks': 4},{},2026-01-01,2026-08-31,350,0.0403606189718006,0.0521572312992918,347,0.4985590778097982,0.0022274610185657,0.0022948804180995,-6.741939953380587e-05
HSBC Ridge Regression V1,general_regression,hsbc_ridge_v1,v1,"{'estimator': 'ridge', 'alpha': 10.0, 'standardize': True, 'polynomial_degree': 1, 'fit_intercept': True, 'max_iter': 10000, 'minimum_training_weeks': 60}","{'feature_set': 'weekly_v1', 'feature_map_path': 'data/processed/weekly_features_weekly_v1.csv', 'selected_columns': ['return_lag_1', 'return_lag_4', 'rolling_mean_4', 'rolling_std_12', 'market_return_lag_1', 'market_rolling_mean_4', 'excess_return_lag_1', 'excess_return_lag_4', 'return_lag_1_cs_z']}",2026-01-01,2026-08-31,350,0.0360610656125997,0.0471617686353465,347,0.5244956772334294,0.0075697739017547,0.0022948804180995,0.0052748934836552
4-Week Moving Average,moving_average,ma_4w_v1,v1,{'lookback_weeks': 4},{},2026-01-01,2026-08-31,350,0.0393494831946014,0.0513438047918751,347,0.4956772334293948,0.0021277137678885,0.0022948804180995,-0.000167166650211
Portfolio Router V1,portfolio_router,portfolio_router_v1,v1,{},{},2026-01-01,2026-08-31,350,0.0375853096424652,0.0490204686048467,347,0.521613832853026,0.0019218271146091,0.0022948804180995,-0.0003730533034903
Ridge Regression - Weekly V1 All Features,general_regression,regression_v1,v1,"{'estimator': 'ridge', 'alpha': 10.0, 'standardize': True, 'polynomial_degree': 1, 'fit_intercept': True, 'minimum_training_weeks': 60}","{'feature_set': 'weekly_v1', 'feature_map_path': 'data/processed/weekly_features_weekly_v1.csv', 'selected_columns': ['return_lag_1', 'return_lag_2', 'return_lag_3', 'return_lag_4', 'return_lag_8', 'return_lag_12', 'return_lag_24', 'return_lag_52', 'rolling_mean_4', 'rolling_std_4', 'downside_deviation_4', 'risk_adjusted_mean_4', 'rolling_mean_12', 'rolling_std_12', 'downside_deviation_12', 'risk_adjusted_mean_12', 'rolling_mean_26', 'rolling_std_26', 'downside_deviation_26', 'risk_adjusted_mean_26', 'momentum_spread_4_12', 'market_return_lag_1', 'market_rolling_mean_4', 'market_rolling_mean_12', 'market_rolling_mean_26', 'excess_return_lag_1', 'excess_return_lag_2', 'excess_return_lag_3', 'excess_return_lag_4', 'excess_return_lag_8', 'excess_return_lag_12', 'excess_return_lag_24', 'excess_return_lag_52', 'excess_rolling_mean_4', 'excess_rolling_mean_12', 'excess_rolling_mean_26', 'return_lag_1_cs_z', 'return_lag_4_cs_z', 'return_lag_12_cs_z', 'rolling_mean_4_cs_z', 'rolling_mean_12_cs_z', 'rolling_mean_26_cs_z', 'risk_adjusted_mean_4_cs_z', 'excess_return_lag_1_cs_z']}",2026-01-01,2026-08-31,350,0.0352662012541541,0.0461796913042123,347,0.5043227665706052,0.0037954386852112,0.0022948804180995,0.0015005582671117
Lasso Regression - Weekly V1 Selected Features,general_regression,regression_v2,v2,"{'estimator': 'lasso', 'alpha': 0.001, 'standardize': True, 'polynomial_degree': 1, 'fit_intercept': True, 'max_iter': 10000, 'minimum_training_weeks': 60}","{'feature_set': 'weekly_v1', 'feature_map_path': 'data/processed/weekly_features_weekly_v1.csv', 'selected_columns': ['market_return_lag_1', 'market_rolling_mean_4', 'market_rolling_mean_12', 'excess_return_lag_1', 'excess_return_lag_2', 'excess_return_lag_4', 'excess_return_lag_12', 'momentum_spread_4_12', 'rolling_std_4', 'downside_deviation_12', 'return_lag_1_cs_z', 'return_lag_4_cs_z', 'rolling_mean_4_cs_z', 'rolling_mean_12_cs_z', 'risk_adjusted_mean_4_cs_z', 'excess_return_lag_1_cs_z']}",2026-01-01,2026-08-31,350,0.035385941910296,0.0464563114823902,347,0.5302593659942363,0.0027987355448358,0.0022948804180995,0.0005038551267363
XGBoost V1,tree_boosting,xgboost_v1,v1,"{'estimator': 'xgboost', 'n_estimators': 60, 'max_depth': 2, 'learning_rate': 0.0121, 'subsample': 0.8, 'colsample_bytree': 0.89, 'reg_alpha': 0.034, 'reg_lambda': 0.0286, 'min_child_weight': 2, 'random_state': 42, 'n_jobs': -1, 'minimum_training_weeks': 104}","{'feature_set': 'weekly_v1', 'feature_map_path': 'data/processed/weekly_features_weekly_v1.csv', 'selected_columns': ['return_lag_12', 'return_lag_24', 'risk_adjusted_mean_4', 'risk_adjusted_mean_12', 'rolling_mean_26', 'rolling_std_26', 'risk_adjusted_mean_26', 'momentum_spread_4_12', 'market_rolling_mean_4', 'excess_return_lag_1', 'excess_return_lag_3', 'excess_return_lag_8', 'excess_return_lag_24', 'return_lag_1_cs_z', 'return_lag_12_cs_z', 'risk_adjusted_mean_4_cs_z']}",2026-01-01,2026-08-31,350,0.0353643227101534,0.0464548210963704,347,0.5417867435158501,0.0023996407538236,0.0022948804180995,0.0001047603357241
XGBoost V2,tree_boosting,xgboost_v2,v2,"{'estimator': 'xgboost', 'n_estimators': 80, 'max_depth': 4, 'learning_rate': 0.0282, 'subsample': 0.88, 'colsample_bytree': 0.63, 'reg_alpha': 0.001, 'reg_lambda': 0.125, 'min_child_weight': 5, 'random_state': 42, 'n_jobs': -1, 'minimum_training_weeks': 104}","{'feature_set': 'weekly_v1', 'feature_map_path': 'data/processed/weekly_features_weekly_v1.csv', 'selected_columns': ['return_lag_4', 'return_lag_8', 'return_lag_12', 'return_lag_24', 'rolling_mean_4', 'downside_deviation_4', 'risk_adjusted_mean_4', 'rolling_mean_26', 'rolling_std_26', 'downside_deviation_26', 'risk_adjusted_mean_26', 'momentum_spread_4_12', 'market_rolling_mean_12', 'excess_return_lag_2', 'excess_return_lag_3', 'excess_return_lag_4', 'excess_return_lag_8', 'excess_return_lag_24', 'return_lag_1_cs_z', 'excess_return_lag_1_cs_z']}",2026-01-01,2026-08-31,350,0.034724703882471,0.0454147330811685,347,0.5504322766570605,0.0033502562958165,0.0022948804180995,0.0010553758777169
Zero Return Baseline,zero,zero_v1,v1,{},{},2026-01-01,2026-08-31,350,0.0354646915214358,0.0465682065772564,0,,0.0,0.0022948804180995,-0.0022948804180995
